City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,68.76,87,13,10.33,few clouds
1,Havoysund,NO,70.9963,24.6622,32.88,60,100,11.74,light snow
2,Ngunguru,NZ,-35.6167,174.5,60.17,95,100,24.2,overcast clouds
3,Dikson,RU,73.5069,80.5464,13.87,88,100,17.9,overcast clouds
4,Lompoc,US,34.6391,-120.4579,66.78,90,90,15.01,mist
5,Sept-Iles,CA,50.2001,-66.3821,48.72,97,90,1.99,mist
6,Vila Velha,BR,-20.3297,-40.2925,68.97,83,98,3.22,overcast clouds
7,Severo-Kurilsk,RU,50.6789,156.125,42.04,72,39,13.18,scattered clouds
8,Egvekinot,RU,66.3167,-179.1667,12.11,83,100,6.87,overcast clouds
9,Dwarka,IN,22.2394,68.9678,79.86,66,15,13.82,few clouds
10,Rodeo,US,38.033,-122.2669,60.33,86,100,7.0,overcast clouds
11,Mombetsu,JP,44.3525,143.3525,47.86,90,100,11.79,overcast clouds
12,Georgetown,MY,5.4112,100.3354,84.13,79,20,4.61,few clouds
13,Muros,ES,42.7762,-9.0603,55.24,90,5,5.1,clear sky
14,Mount Gambier,AU,-37.8333,140.7667,57.36,74,15,8.48,few clouds
15,Rikitea,PF,-23.1203,-134.9692,74.07,83,9,19.66,clear sky
16,Vardo,NO,70.3705,31.1107,35.06,60,100,20.42,light rain
17,Nenjiang,CN,49.1833,125.2167,46.42,52,56,9.71,broken clouds
18,Faya,SA,18.3851,42.4509,56.8,36,98,6.02,overcast clouds
19,Gaoual,GN,11.75,-13.2,74.89,84,96,1.81,light rain
20,Kalemie,CD,-5.9475,29.1947,69.48,85,98,5.61,overcast clouds
21,Susangerd,IR,31.5608,48.1831,71.01,25,0,9.08,clear sky
22,Bambous Virieux,MU,-20.3428,57.7575,73.22,82,59,13.22,broken clouds
23,Vaini,TO,-21.2,-175.2,72.93,65,98,18.41,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,36.21,86,39,11.5,light rain
25,Tautira,PF,-17.7333,-149.15,73.42,87,67,33.31,light rain
26,Edd,ER,13.9297,41.6925,84.04,72,6,6.08,clear sky
27,Henderson,US,36.0397,-114.9819,76.82,17,1,14.97,clear sky
28,Butaritari,KI,3.0707,172.7902,82.27,78,77,18.57,light rain
29,Saskylakh,RU,71.9167,114.0833,-13.47,100,87,3.06,overcast clouds
30,Khatanga,RU,71.9667,102.5,1.99,94,98,11.23,overcast clouds
31,Avarua,CK,-21.2078,-159.775,73.45,64,20,5.75,few clouds
32,Zubtsov,RU,56.1753,34.5894,41.36,77,100,14.85,overcast clouds
33,Souillac,MU,-20.5167,57.5167,73.36,85,36,11.9,scattered clouds
34,Bellevue,US,47.6104,-122.2007,54.55,89,20,3.0,few clouds
35,Kamenka,RU,51.3223,42.7678,50.11,71,100,9.6,overcast clouds
36,Pabrade,LT,55.0,25.7833,39.63,86,57,12.82,light rain
37,Kavieng,PG,-2.5744,150.7967,84.97,67,21,13.56,few clouds
38,Antofagasta,CL,-23.65,-70.4,57.52,77,44,6.08,scattered clouds
39,Yellowknife,CA,62.456,-114.3525,42.42,82,93,20.0,overcast clouds
40,Clyde River,CA,70.4692,-68.5914,21.63,76,100,6.42,overcast clouds
41,Qaanaaq,GL,77.484,-69.3632,-0.85,65,0,8.3,clear sky
42,Bombay,IN,19.0144,72.8479,80.58,83,20,6.91,haze
43,Saint-Philippe,RE,-21.3585,55.7679,72.95,82,35,7.54,scattered clouds
44,Madera,US,37.1666,-119.8343,65.39,77,97,7.27,overcast clouds
45,Mataura,NZ,-46.1927,168.8643,72.32,39,99,1.28,overcast clouds
46,Provideniya,RU,64.3833,-173.3,27.52,75,100,8.19,overcast clouds
47,East London,ZA,-33.0153,27.9116,62.4,74,49,6.8,scattered clouds
48,Kodiak,US,57.79,-152.4072,41.18,76,100,12.37,overcast clouds
49,Punta Arenas,CL,-53.15,-70.9167,39.31,81,75,35.68,light rain
50,Chokurdakh,RU,70.6333,147.9167,-10.97,99,98,2.84,overcast clouds
51,Pak Phanang,TH,8.3511,100.202,87.42,72,26,1.43,scattered clouds
52,Laguna,US,38.421,-121.4238,63.18,73,1,1.01,clear sky
53,Mar Del Plata,AR,-38.0023,-57.5575,56.08,89,90,5.75,light rain
54,Hobart,AU,-42.8794,147.3294,56.01,91,75,9.22,broken clouds
55,Banda Aceh,ID,5.5577,95.3222,82.2,73,93,2.15,overcast clouds
56,Alice Springs,AU,-23.7,133.8833,80.15,24,0,17.27,clear sky
57,Cape Town,ZA,-33.9258,18.4232,58.08,87,100,7.0,moderate rain
58,Bredasdorp,ZA,-34.5322,20.0403,58.28,79,100,19.48,light rain
59,New Norfolk,AU,-42.7826,147.0587,55.65,83,100,2.24,overcast clouds
60,Lorengau,PG,-2.0226,147.2712,86.02,65,71,8.01,broken clouds
61,Sao Francisco Do Sul,BR,-26.2433,-48.6381,64.15,94,7,8.37,clear sky
62,Longyearbyen,SJ,78.2186,15.6401,19.24,86,75,2.3,broken clouds
63,Puerto Ayora,EC,-0.7393,-90.3518,69.89,86,20,8.21,few clouds
64,Kununurra,AU,-15.7667,128.7333,94.98,46,6,9.22,clear sky
65,Saint George,US,37.1041,-113.5841,72.95,25,1,4.0,clear sky
66,Torbay,CA,47.6666,-52.7314,52.57,86,100,1.01,overcast clouds
67,Balkanabat,TM,39.5108,54.3671,55.2,29,0,5.46,clear sky
68,Mantua,IT,45.1667,10.7833,57.81,95,0,1.99,clear sky
69,Hilo,US,19.7297,-155.09,74.93,91,90,11.5,light rain
70,Hami,CN,42.8,93.45,54.25,29,13,10.18,few clouds
71,Vestmanna,FO,62.1564,-7.1664,43.72,100,90,17.27,overcast clouds
72,Kjollefjord,NO,70.9457,27.3465,33.19,64,100,13.71,light snow
73,Marietta,US,33.9526,-84.5499,60.87,89,1,4.61,clear sky
74,Hermanus,ZA,-34.4187,19.2345,58.8,88,100,23.55,moderate rain
75,Upernavik,GL,72.7868,-56.1549,21.15,82,100,5.7,light snow
76,Novosysoyevka,RU,44.235,133.3642,48.06,45,4,6.4,clear sky
77,Iracoubo,GF,5.4802,-53.2011,78.24,89,98,11.99,overcast clouds
78,Polunochnoye,RU,60.8697,60.4153,42.67,83,64,9.62,broken clouds
79,Lodja,CD,-3.4833,23.4333,68.31,98,99,0.49,overcast clouds
80,Albany,US,42.6001,-73.9662,47.48,82,48,5.23,scattered clouds
81,Shingu,JP,33.7333,135.9833,64.85,38,0,2.93,clear sky
82,Balakhta,RU,55.38,91.6,37.17,63,37,14.09,scattered clouds
83,Nishihara,JP,26.1842,127.7558,74.68,57,75,16.11,broken clouds
84,Beringovskiy,RU,63.05,179.3167,17.4,80,100,14.25,overcast clouds
85,Guerrero Negro,MX,27.9769,-114.0611,66.99,81,0,15.68,clear sky
86,Narsaq,GL,60.9167,-46.05,37.62,99,100,2.39,light rain
87,Nanortalik,GL,60.1432,-45.2371,38.77,97,100,10.49,light rain
88,Biak,ID,-0.9131,122.8766,84.43,63,92,4.59,overcast clouds
89,Kapaa,US,22.0752,-159.319,84.18,85,12,1.01,light rain
90,Thompson,CA,55.7435,-97.8558,31.06,93,100,3.8,overcast clouds
91,Goderich,CA,43.7501,-81.7165,41.92,66,100,5.26,overcast clouds
92,Alzamay,RU,55.5562,98.6644,38.37,88,100,9.53,overcast clouds
93,Bellmead,US,31.594,-97.1089,75.78,75,1,3.44,clear sky
94,Tura,IN,25.5198,90.2201,71.82,71,0,2.48,clear sky
95,Markova,UA,48.6758,24.4138,47.71,75,52,7.58,broken clouds
96,Atuona,PF,-9.8,-139.0333,77.88,79,23,17.2,light rain
97,Nandi Hills,KE,0.1066,35.1838,53.71,88,46,5.64,scattered clouds
98,Enshi,CN,30.3,109.4833,58.84,74,71,1.3,broken clouds
99,Kapuvar,HU,47.5922,17.0289,48.92,56,57,22.53,broken clouds
100,Hofn,IS,64.2539,-15.2082,46.98,98,100,16.37,overcast clouds
101,Villa Maria,AR,-32.4075,-63.2402,59.83,90,71,10.11,broken clouds
102,Chunoyar,RU,57.4467,97.3217,39.88,75,100,10.83,overcast clouds
103,Jamestown,US,42.097,-79.2353,47.52,88,100,1.99,overcast clouds
104,Ostrovnoy,RU,68.0531,39.5131,34.09,66,100,23.2,light rain
105,Ancud,CL,-41.8697,-73.8203,47.43,77,96,9.4,overcast clouds
106,San Francisco,US,37.7749,-122.4194,60.48,90,100,1.01,overcast clouds
107,Port Elizabeth,ZA,-33.918,25.5701,65.1,82,33,7.27,scattered clouds
108,Kruisfontein,ZA,-34.0033,24.7314,62.89,55,100,8.12,overcast clouds
109,Walvis Bay,NA,-22.9575,14.5053,58.08,87,0,6.89,clear sky
110,Dothan,US,31.2232,-85.3905,67.17,83,0,6.96,clear sky
111,Bluff,NZ,-46.6,168.3333,56.8,67,100,11.25,overcast clouds
112,Chuy,UY,-33.6971,-53.4616,57.79,71,100,5.17,light rain
113,Tabou,CI,4.423,-7.3528,76.35,90,46,6.6,light rain
114,Magadan,RU,59.5667,150.8,24.78,82,100,15.52,overcast clouds
115,Jiuquan,CN,39.7432,98.5174,47.82,28,0,3.49,clear sky
116,Pontal Do Parana,BR,-25.6533,-48.5128,63.21,95,4,5.48,clear sky
117,Riberalta,BO,-10.9833,-66.1,77.61,80,100,2.68,overcast clouds
118,Kavaratti,IN,10.5669,72.642,81.82,75,37,4.12,scattered clouds
119,Teya,RU,60.3778,92.6267,32.77,78,97,13.06,overcast clouds
120,Busselton,AU,-33.65,115.3333,66.04,55,0,4.85,clear sky
121,Port Hardy,CA,50.6996,-127.4199,48.38,87,90,9.22,light rain
122,Ponta Do Sol,PT,32.6667,-17.1,68.72,66,34,7.74,scattered clouds
123,Tasiilaq,GL,65.6145,-37.6368,32.16,92,100,11.36,light snow
124,Barmer,IN,25.75,71.3833,72.28,78,0,14.9,clear sky
125,Sabana Grande De Boya,DO,18.945,-69.7933,73.83,93,13,1.99,few clouds
126,Baruun-Urt,MN,46.6806,113.2792,38.75,40,29,12.35,scattered clouds
127,San Lawrenz,MT,36.0553,14.204,71.85,90,8,1.99,clear sky
128,Touros,BR,-5.1989,-35.4608,78.73,80,25,10.31,scattered clouds
129,Airai,TL,-8.9266,125.4092,79.79,40,60,1.68,broken clouds
130,Uruzgan,AF,32.8333,66.0,44.28,18,0,7.92,clear sky
131,Minab,IR,27.1467,57.0801,79.45,17,0,13.85,clear sky
132,Araouane,ML,18.9048,-3.5265,78.3,22,3,7.47,clear sky
133,Arraial Do Cabo,BR,-22.9661,-42.0278,68.65,79,1,12.82,clear sky
134,Fort Payne,US,34.4442,-85.7197,56.61,50,1,0.0,clear sky
135,Linkou,CN,45.3,130.2833,50.05,36,0,8.14,clear sky
136,Kirakira,SB,-10.4544,161.9205,86.22,59,6,8.23,clear sky
137,Coquimbo,CL,-29.9533,-71.3436,55.81,81,6,3.22,clear sky
138,Novovarshavka,RU,54.1721,74.6946,40.89,89,100,21.72,light rain
139,Nome,US,64.5011,-165.4064,32.0,75,100,9.06,overcast clouds
140,Bagdarin,RU,54.4333,113.6,37.38,53,18,0.45,few clouds
141,Svetlogorsk,BY,52.6333,29.7333,43.29,59,14,14.72,few clouds
142,Funadhoo,MV,6.15,73.2667,81.48,76,100,11.81,overcast clouds
143,Grand Gaube,MU,-20.0064,57.6608,73.38,85,84,5.99,broken clouds
144,Tinskoy,RU,56.1525,96.9161,39.0,81,100,9.84,overcast clouds
145,Faanui,PF,-16.4833,-151.75,78.33,83,77,19.51,moderate rain
146,San Cristobal,VE,7.7669,-72.225,68.18,95,24,1.7,few clouds
147,Lethem,GY,3.3803,-59.7968,78.03,78,90,7.38,overcast clouds
148,Castro,BR,-24.7911,-50.0119,55.31,81,0,3.78,clear sky
149,Ashland,US,40.8167,-82.2665,48.87,87,100,3.27,overcast clouds
150,Wanning,CN,18.8003,110.3967,71.91,87,96,15.08,overcast clouds
151,Tiksi,RU,71.6872,128.8694,4.1,96,100,2.24,overcast clouds
152,Metu,ET,8.3,35.5833,53.42,78,19,3.83,few clouds
153,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,84,17,5.46,few clouds
154,Cairns,AU,-16.9167,145.7667,96.94,59,95,8.05,light rain
155,Lavrentiya,RU,65.5833,-171.0,23.88,83,100,12.33,overcast clouds
156,Batagay-Alyta,RU,67.8006,130.4114,8.47,93,100,0.92,overcast clouds
157,Nikolskoye,RU,59.7035,30.7861,44.87,80,100,12.33,overcast clouds
158,Lebu,CL,-37.6167,-73.65,50.67,66,63,16.55,broken clouds
159,Goure,NE,13.9835,10.2704,87.03,51,100,4.5,overcast clouds
160,Lagoa,PT,39.05,-27.9833,67.55,85,43,13.58,scattered clouds
161,Catamarca,AR,-28.4696,-65.7852,73.63,35,3,4.72,clear sky
162,Cidreira,BR,-30.1811,-50.2056,64.96,87,0,9.6,clear sky
163,Bengkulu,ID,-3.8004,102.2655,81.66,73,95,0.6,overcast clouds
164,Victoria,HK,22.2855,114.1577,70.25,77,80,1.01,broken clouds
165,Mezen,RU,65.8522,44.24,27.45,91,86,6.6,overcast clouds
166,Mahebourg,MU,-20.4081,57.7,73.26,83,54,13.76,broken clouds
167,Lake Charles,US,30.2131,-93.2044,77.02,90,40,0.0,scattered clouds
168,College,US,64.8569,-147.8028,32.47,88,100,2.8,overcast clouds
169,Dingle,PH,10.9995,122.6711,82.92,79,59,11.95,broken clouds
170,Zabol,AF,32.25,67.25,41.02,48,0,4.05,clear sky
171,Pascagoula,US,30.3658,-88.5561,70.02,96,0,2.51,clear sky
172,Santiago Del Estero,AR,-27.7951,-64.2615,80.8,33,60,14.47,broken clouds
173,Bathsheba,BB,13.2167,-59.5167,82.2,66,100,20.4,overcast clouds
174,Camacupa,AO,-12.0167,17.4833,63.07,91,100,3.78,overcast clouds
175,Cervo,ES,43.6702,-7.4101,44.19,85,11,10.36,few clouds
176,Aklavik,CA,68.2191,-135.0107,26.94,94,100,15.41,light snow
177,Melo,UY,-32.3667,-54.1833,55.98,83,100,6.93,light rain
178,Devils Lake,US,48.1128,-98.8651,32.95,84,93,5.01,overcast clouds
179,Evensk,RU,61.95,159.2333,12.61,65,82,5.35,broken clouds
180,Peterhead,GB,57.5058,-1.7981,43.12,68,100,10.92,overcast clouds
181,Mgandu,TZ,-5.95,34.1333,66.9,56,84,5.86,broken clouds
182,Cherskiy,RU,68.75,161.3,1.11,96,100,3.15,overcast clouds
183,Hirosaki,JP,40.5931,140.4725,49.68,81,100,7.29,overcast clouds
184,Katsuura,JP,35.1333,140.3,62.71,51,3,15.82,clear sky
185,Dolinsk,RU,47.35,142.8,46.26,48,1,7.45,clear sky
186,Ascension,US,30.2169,-90.9001,77.0,85,1,0.0,clear sky
187,Mulchen,CL,-37.7167,-72.2333,45.59,80,6,7.05,clear sky
188,Tuktoyaktuk,CA,69.4541,-133.0374,33.46,90,100,15.23,overcast clouds
189,Oktyabrskiy,RU,54.4815,53.471,46.29,92,22,13.04,few clouds
190,Barrow,US,71.2906,-156.7887,30.22,86,90,6.91,light snow
191,Acarau,BR,-2.8856,-40.12,79.54,81,76,10.49,broken clouds
192,Huarmey,PE,-10.0681,-78.1522,63.99,85,85,10.78,overcast clouds
193,Port Alfred,ZA,-33.5906,26.891,61.32,84,3,9.8,clear sky
194,Carnarvon,AU,-24.8667,113.6333,79.45,38,0,15.17,clear sky
195,Martapura,ID,-3.4167,114.85,86.09,70,20,3.44,few clouds
196,Klaksvik,FO,62.2266,-6.589,45.52,79,100,26.51,overcast clouds
197,Sur,OM,22.5667,59.5289,80.53,63,0,4.63,clear sky
198,Itarema,BR,-2.9248,-39.9167,79.57,80,70,10.67,broken clouds
199,Chenghai,CN,23.4632,116.768,69.76,67,90,6.4,overcast clouds
200,Aracaju,BR,-10.9111,-37.0717,76.89,90,19,8.39,few clouds
201,Nyimba,ZM,-14.5566,30.8149,72.99,50,6,2.66,clear sky
202,Broken Hill,AU,-31.95,141.4333,69.08,36,100,18.57,overcast clouds
203,Kalabo,ZM,-14.97,22.6814,71.56,58,17,4.32,few clouds
204,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,81,20,16.11,few clouds
205,Klyuchi,RU,52.2667,79.1667,38.5,56,90,20.04,overcast clouds
206,Sinfra,CI,6.6167,-5.9167,71.11,100,96,3.49,overcast clouds
207,Bethel,US,41.3712,-73.414,59.92,74,100,5.28,overcast clouds
208,The Pas,CA,53.8251,-101.2541,35.62,80,90,5.75,overcast clouds
209,Marawi,PH,7.9986,124.2928,73.65,72,100,2.86,overcast clouds
210,Kayseri,TR,38.737,35.4968,32.02,69,0,2.3,clear sky
211,Codrington,AU,-38.2667,141.9667,56.79,76,62,14.47,broken clouds
212,Isparta,TR,38.0,31.0,38.16,53,23,2.15,few clouds
213,Fortuna,US,40.5982,-124.1573,56.93,82,90,7.0,overcast clouds
214,Vao,NC,-22.6667,167.4833,73.24,78,0,5.48,clear sky
215,Nong Phai,TH,15.9903,101.0618,76.39,81,100,9.71,overcast clouds
216,Atambua,ID,-9.1061,124.8925,88.18,54,41,4.85,scattered clouds
217,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,84,96,6.31,overcast clouds
218,Cochrane,CA,51.1834,-114.4687,53.2,49,100,9.64,overcast clouds
219,Pevek,RU,69.7008,170.3133,12.9,91,100,7.02,light snow
220,Lahaina,US,20.8783,-156.6825,81.64,81,29,9.78,scattered clouds
221,Vredendal,ZA,-31.6683,18.5012,57.65,87,100,22.41,moderate rain
222,Dubbo,AU,-32.25,148.6167,86.13,37,98,5.75,overcast clouds
223,Yumaguzino,RU,52.9041,56.3933,43.34,83,75,9.15,broken clouds
224,Husavik,IS,66.0449,-17.3389,36.73,93,100,8.97,light rain
225,Bhum,IN,18.4667,75.6667,71.17,61,61,4.45,broken clouds
226,Hithadhoo,MV,-0.6,73.0833,82.18,73,100,11.77,overcast clouds
227,Tuatapere,NZ,-46.1333,167.6833,66.18,52,93,5.46,overcast clouds
228,Anadyr,RU,64.75,177.4833,12.7,79,75,15.66,broken clouds
229,Portland,US,45.5234,-122.6762,55.44,91,86,1.01,overcast clouds
230,Adrar,MR,20.5022,-10.0711,72.23,22,81,7.94,broken clouds
231,Kurchum,KZ,48.5722,83.6542,35.47,57,19,6.11,few clouds
232,Padang,ID,-0.9492,100.3543,80.65,73,95,0.65,overcast clouds
233,Placido De Castro,BR,-10.3353,-67.1856,78.3,79,94,2.39,overcast clouds
234,Belyy Yar,RU,53.6039,91.3903,37.29,75,0,11.18,clear sky
235,Mayo,US,38.8876,-76.5119,60.94,86,99,8.32,overcast clouds
236,Dafeng,CN,23.4517,108.5881,58.86,74,100,5.48,overcast clouds
237,Bose,IT,45.4612,8.0137,51.3,73,0,4.61,clear sky
238,Chandbali,IN,20.7833,86.7667,76.39,64,6,4.94,clear sky
239,Shunyi,CN,40.125,116.6453,52.29,58,0,2.24,clear sky
240,Aykhal,RU,66.0,111.5,22.77,96,100,4.43,overcast clouds
241,Wahpeton,US,46.2652,-96.6059,39.22,70,1,8.05,clear sky
242,Talnakh,RU,69.4865,88.3972,25.7,97,100,9.06,snow
243,Qui Nhon,VN,13.7667,109.2333,77.43,92,100,6.22,moderate rain
244,Saint Anthony,US,45.0205,-93.218,43.93,71,90,1.99,overcast clouds
245,Grindavik,IS,63.8424,-22.4338,47.89,100,90,16.11,overcast clouds
246,Trincomalee,LK,8.5711,81.2335,79.79,83,20,5.48,few clouds
247,Andenes,NO,69.3143,16.1194,30.18,59,100,5.75,overcast clouds
248,Sompeta,IN,18.9333,84.6,79.2,73,33,3.62,scattered clouds
249,Machali,CL,-34.1833,-70.6667,49.71,69,6,0.54,clear sky
250,Kreminna,UA,49.0495,38.2179,50.76,71,64,5.03,broken clouds
251,Te Anau,NZ,-45.4167,167.7167,63.75,48,99,2.82,overcast clouds
252,Changji,CN,44.0167,87.3167,38.19,93,90,6.71,light rain
253,Safita,SY,34.8205,36.1153,62.51,66,0,1.16,clear sky
254,Chingola,ZM,-12.529,27.8838,66.15,51,21,3.87,few clouds
255,Saint-Georges,GD,12.0564,-61.7485,80.67,78,100,17.72,overcast clouds
256,Tumarbong,PH,10.3766,119.4579,84.87,70,37,7.27,light rain
257,Bonaventure,CA,48.0457,-65.4926,55.35,96,63,7.02,broken clouds
258,Leshukonskoye,RU,64.8989,45.7622,27.55,93,100,8.52,light snow
259,Karratha,AU,-20.7377,116.8463,94.37,18,9,18.9,clear sky
260,Yaan,NG,7.3833,8.5667,71.64,98,100,4.5,moderate rain
261,Karatau,KZ,43.1667,70.4667,36.03,64,31,3.8,scattered clouds
262,De-Kastri,RU,51.4667,140.7833,41.22,66,100,5.53,overcast clouds
263,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.87,85,45,10.54,scattered clouds
264,Yulara,AU,-25.2406,130.9889,78.64,25,0,18.41,clear sky
265,San Benito,US,36.6166,-121.0844,49.55,80,100,5.55,overcast clouds
266,Lukovetskiy,RU,64.2956,41.9211,30.18,95,100,8.72,snow
267,Diego De Almagro,CL,-26.3667,-70.05,55.74,46,95,3.22,overcast clouds
268,Auki,SB,-8.7676,160.7034,87.66,59,10,4.74,clear sky
269,Coahuayana,MX,18.7333,-103.6833,80.08,91,100,3.94,overcast clouds
270,Nioaque,BR,-21.1353,-55.83,79.81,46,58,5.7,broken clouds
271,Ahipara,NZ,-35.1667,173.1667,60.71,94,100,19.77,overcast clouds
272,Opuwo,NA,-18.0607,13.84,60.73,31,9,4.56,clear sky
273,Nelspruit,ZA,-25.4745,30.9703,64.99,53,0,3.78,clear sky
274,Marsh Harbour,BS,26.5412,-77.0636,80.64,69,100,14.07,overcast clouds
275,Cockburn Town,TC,21.4612,-71.1419,83.46,75,96,19.06,overcast clouds
276,Makhinjauri,GE,41.6739,41.694,53.46,71,0,23.02,clear sky
277,Mogadishu,SO,2.0371,45.3438,79.05,82,35,10.69,scattered clouds
278,Barcelos,PT,41.5388,-8.6151,58.91,68,2,4.72,clear sky
279,Kamina,CD,-8.7386,24.9906,64.06,97,100,4.32,overcast clouds
280,Shache,CN,38.4167,77.2406,49.48,28,100,7.81,overcast clouds
281,Saldanha,ZA,-33.0117,17.9442,58.46,82,100,22.19,light rain
282,Morant Bay,JM,17.8815,-76.4093,77.63,85,85,8.32,overcast clouds
283,Coihaique,CL,-45.5752,-72.0662,38.75,96,89,11.77,overcast clouds
284,Bartlesville,US,36.7473,-95.9808,69.51,73,75,0.0,broken clouds
285,Savalou,BJ,7.9281,1.9756,74.21,95,98,3.8,overcast clouds
286,Safaga,EG,26.7292,33.9365,74.03,53,2,16.08,clear sky
287,Pontianak,ID,-0.0333,109.3333,78.78,89,20,0.0,few clouds
288,Cilegon,ID,-6.0174,106.0538,85.86,66,100,4.5,overcast clouds
289,Ibra,OM,22.6906,58.5334,73.35,62,1,1.07,clear sky
290,Hambantota,LK,6.1241,81.1185,75.54,100,20,4.61,few clouds
291,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,75.04,90,100,2.77,overcast clouds
292,Khurai,IN,24.0436,78.3319,69.22,68,2,3.87,clear sky
293,Ilebo,CD,-4.3167,20.5833,69.35,99,69,1.07,broken clouds
294,Praia,CV,14.9215,-23.5087,77.52,80,2,9.53,clear sky
295,Katiola,CI,8.1333,-5.1,71.76,97,74,3.98,broken clouds
296,Zyryanka,RU,65.75,150.85,0.0,77,45,1.28,scattered clouds
297,Constitucion,CL,-35.3333,-72.4167,49.17,84,1,13.13,clear sky
298,Stephenville,US,32.2207,-98.2023,73.49,72,1,3.44,clear sky
299,Cozumel,MX,20.5083,-86.9458,81.0,89,78,1.99,broken clouds
300,Ikom,NG,5.9667,8.7063,72.18,99,100,1.5,moderate rain
301,Edson,CA,53.5835,-116.4356,35.71,93,75,2.3,broken clouds
302,Bintulu,MY,3.1667,113.0333,79.99,81,97,3.58,overcast clouds
303,Soyo,AO,-6.1349,12.3689,77.13,87,96,6.11,light rain
304,Cuicatlan,MX,17.8,-96.9667,70.92,94,100,2.3,overcast clouds
305,Asfi,MA,32.2994,-9.2372,61.63,77,0,11.74,clear sky
306,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,40,10.36,scattered clouds
307,Rawson,AR,-43.3002,-65.1023,55.49,39,14,25.3,few clouds
308,Nioro,GM,13.35,-15.75,75.33,79,40,5.21,scattered clouds
309,Iqaluit,CA,63.7506,-68.5145,25.7,86,90,15.01,overcast clouds
310,Imeni Poliny Osipenko,RU,52.4201,136.4853,36.3,76,58,8.46,broken clouds
311,Solnechnyy,RU,50.7214,136.6319,41.4,65,97,3.2,overcast clouds
312,Hasaki,JP,35.7333,140.8333,59.4,56,1,15.43,clear sky
313,San Patricio,US,28.017,-97.5169,80.46,77,96,9.95,overcast clouds
314,Worland,US,44.0169,-107.9554,58.87,50,1,9.22,clear sky
315,Nambucca Heads,AU,-30.65,153.0,89.17,74,1,8.48,clear sky
316,Kultuk,RU,51.7208,103.6956,42.22,51,10,4.72,clear sky
317,Waipawa,NZ,-41.4122,175.5153,57.31,54,98,12.21,overcast clouds
318,Ajdabiya,LY,30.7554,20.2263,69.76,42,11,10.92,few clouds
319,Jardim,BR,-21.4803,-56.1381,78.75,49,46,6.49,scattered clouds
320,Mayya,RU,61.7333,130.2811,27.72,95,100,3.78,light snow
321,Tabas,IR,33.5959,56.9244,52.38,30,0,3.44,clear sky
322,Sitka,US,57.0531,-135.33,45.43,81,100,10.54,light rain
323,Oster,UA,50.9506,30.8823,47.79,65,5,12.62,clear sky
324,Yuci,CN,37.6803,112.7319,46.15,57,0,2.24,clear sky
325,Vanderhoof,CA,54.0166,-124.0198,44.8,71,7,1.52,clear sky
326,Lukulu,ZM,-14.3707,23.242,69.26,66,18,4.23,few clouds
327,Mount Isa,AU,-20.7333,139.5,89.37,27,97,16.11,overcast clouds
328,Kalaleh,IR,37.3807,55.4916,57.31,25,0,5.35,clear sky
329,Oyem,GA,1.5995,11.5793,66.04,99,100,2.53,overcast clouds
330,Benjamin Constant,BR,-4.3831,-70.0311,74.52,95,84,0.74,light rain
